iter	Passed	Remaining
401	45491	11090
402	45647	10987
403	45811	10885
404	45966	10782
405	46132	10680
406	46293	10578
407	46441	10472
408	46551	10357
409	46625	10234
410	46678	10108
411	46730	9981
412	46789	9856
413	46902	9743
414	47022	9631
415	47172	9525
416	47246	9404
417	47307	9280
418	47384	9160
419	47488	9045
420	47620	8935
421	47778	8831
422	47935	8725
423	48065	8615
424	48219	8509
425	48375	8403
426	48508	8293
427	48643	8183
428	48809	8078
429	48975	7972
430	49132	7865
431	49290	7758
432	49445	7650
433	49605	7543
434	49788	7439
435	49941	7330
436	50086	7220
437	50209	7107
438	50345	6995
439	50453	6880
440	50570	6765
441	50682	6650
442	50842	6541
443	50977	6429
444	51137	6320
445	51303	6211
446	51440	6099
447	51548	5983
448	51682	5870
449	51850	5761
450	51979	5647
451	52131	5536
452	52297	5425
453	52416	5310
454	52543	5196
455	52669	5082
456	52757	4964
457	52896	4850
458	53057	4739
459	53189	4625
460	53270	4506
461	53361	4389
462	53474	4273
463	53558	4155
464	53647	4037
465	53800	3925
466	53900	3808
467	54030	3694
468	54194	3582
469	54362	3469
470	54460	3353
471	54573	3237
472	54721	3123
473	54847	3008
474	54934	2891
475	55014	2773
476	55088	2656
477	55158	2538
478	55228	2421
479	55299	2304
480	55372	2187
481	55448	2070
482	55529	1954
483	55606	1838
484	55703	1722
485	55805	1607
486	55882	1491
487	55990	1376
488	56085	1261
489	56164	1146
490	56296	1031
491	56443	917
492	56569	803
493	56701	688
494	56833	574
495	56992	459
496	57145	344
497	57300	230
498	57442	115
499	57557	0
