iter	Logloss
0	0.6695691594
1	0.6489926838
2	0.6305488669
3	0.6148364458
4	0.5995785359
5	0.5865506242
6	0.5745970223
7	0.5638866938
8	0.5543817551
9	0.5463332979
10	0.5389573972
11	0.5324002885
12	0.5263243036
13	0.5209306976
14	0.5160518802
15	0.5119126613
16	0.5080234715
17	0.5044151464
18	0.5013136541
19	0.4985276757
20	0.4958838315
21	0.4934534536
22	0.4911983885
23	0.4892806725
24	0.487309045
25	0.4857650133
26	0.4841777883
27	0.4827622918
28	0.4815831568
29	0.4804482245
30	0.4795374456
31	0.4786796363
32	0.4777754828
33	0.476812563
34	0.4760883535
35	0.4754369902
36	0.4747470688
37	0.4742508683
38	0.4735995303
39	0.4732152212
40	0.4726755152
41	0.4724096388
42	0.4720091027
43	0.4717192165
44	0.4713196957
45	0.4710558061
46	0.4707775939
47	0.4704627849
48	0.4701586746
49	0.4699071004
50	0.4696002161
51	0.4694072031
52	0.4691803105
53	0.4689665681
54	0.4687368543
55	0.4685088241
56	0.4683387138
57	0.468160312
58	0.4679397646
59	0.4677528849
60	0.4676339461
61	0.4674888759
62	0.4673393251
63	0.4672144248
64	0.4670793341
65	0.4669843282
66	0.4668569821
67	0.4667400819
68	0.4665815657
69	0.4664677963
70	0.4663199684
71	0.4662262012
72	0.4661089971
73	0.4660150163
74	0.4658962549
75	0.4657830064
76	0.4656940733
77	0.4655884175
78	0.4654963366
79	0.4654175498
80	0.4653563685
81	0.4652919613
82	0.4652253561
83	0.4651414375
84	0.4650824711
85	0.4650344494
86	0.464936108
87	0.4648580828
88	0.464742044
89	0.4646835962
90	0.464601472
91	0.4645341974
92	0.4644861322
93	0.4643917964
94	0.4643293909
95	0.4642499515
96	0.4641843018
97	0.4641484836
98	0.4640940799
99	0.4640198686
100	0.4639664457
101	0.4639152643
102	0.4638687392
103	0.4638017548
104	0.46374363
105	0.4637189994
106	0.4636613794
107	0.4635962231
108	0.4635557574
109	0.4635089661
110	0.4634604994
111	0.4634145374
112	0.4633320664
113	0.4632586746
114	0.4632068807
115	0.4631621004
116	0.4630773958
117	0.4629645413
118	0.4629298191
119	0.4628702613
120	0.4628228211
121	0.4627852525
122	0.4627053889
123	0.4626277709
124	0.4625448028
125	0.4624763032
126	0.4624442964
127	0.4623950351
128	0.4623361647
129	0.4622411861
130	0.4622076792
131	0.4621573395
132	0.4620996594
133	0.4620577016
134	0.4619945576
135	0.4619343898
136	0.4618794619
137	0.4618318393
138	0.4617915044
139	0.4617379012
140	0.4616541721
141	0.4616202534
142	0.4615818034
143	0.4615525431
144	0.4615153413
145	0.461469567
146	0.4613713896
147	0.4613395118
148	0.4612976059
149	0.4612291052
150	0.461160501
151	0.4611191783
152	0.461096103
153	0.4610721729
154	0.4609991513
155	0.4609348998
156	0.4608925612
157	0.4608631464
158	0.4608303908
159	0.4607897939
160	0.4607469038
161	0.4607093998
162	0.4606806276
163	0.4606282537
164	0.4605724117
165	0.4605061851
166	0.4604639479
167	0.4604199099
168	0.4603884899
169	0.4603378648
170	0.4602991281
171	0.4602668373
172	0.4602021253
173	0.4601452437
174	0.4600970964
175	0.4600553893
176	0.4600052432
177	0.4599632393
178	0.4598871204
179	0.4598239689
180	0.4597634608
181	0.4597410221
182	0.4596717828
183	0.4596173164
184	0.4595863045
185	0.4595544608
186	0.459516903
187	0.4594495877
188	0.4593899583
189	0.4593581413
190	0.4593225071
191	0.4592780535
192	0.4592478728
193	0.4591464647
194	0.4591115369
195	0.4590638396
196	0.458988796
197	0.4589547061
198	0.4588694145
199	0.4588328194
200	0.4587272331
201	0.458696647
202	0.4586171155
203	0.4585727912
204	0.458480192
205	0.4584486276
206	0.4584124047
207	0.4583551004
208	0.4582977172
209	0.4582465835
210	0.458198853
211	0.458167275
212	0.458088752
213	0.4580271335
214	0.4580054009
215	0.4579779003
216	0.4579049785
217	0.4578328836
218	0.4577740273
219	0.4577243843
220	0.4576782556
221	0.4576428682
222	0.4576049979
223	0.4575702654
224	0.4575055252
225	0.4574492916
226	0.4573742162
227	0.457322168
228	0.4572565738
229	0.457209446
230	0.4571456356
231	0.4570589778
232	0.4569852045
233	0.4569207417
234	0.4568915594
235	0.4568244814
236	0.4567655751
237	0.4567207677
238	0.456647601
239	0.4565902913
240	0.4565361372
241	0.4564781852
242	0.456428515
243	0.4563728103
244	0.4562922575
245	0.4562206694
246	0.4561471138
247	0.4560871873
248	0.4560244507
249	0.4559870839
250	0.4559269224
251	0.4558811311
252	0.4558360763
253	0.4557731388
254	0.4557242453
255	0.4556536127
256	0.4556031214
257	0.4555313287
258	0.4554702872
259	0.4554130493
260	0.4553363012
261	0.4552616337
262	0.4551884433
263	0.4551215003
264	0.4550611471
265	0.454988265
266	0.4549212255
267	0.4548854827
268	0.454809513
269	0.4547627206
270	0.4547142244
271	0.4546534484
272	0.4546110154
273	0.4545474019
274	0.4544942845
275	0.4544412929
276	0.4543760171
277	0.4543081835
278	0.4542459155
279	0.4541570231
280	0.4541225979
281	0.4540689611
282	0.4540338222
283	0.4539808288
284	0.4539182385
285	0.4538547157
286	0.4538042664
287	0.4537329577
288	0.4536898054
289	0.4536393335
290	0.4535856233
291	0.453529721
292	0.453467156
293	0.4533901866
294	0.453334014
295	0.4532673819
296	0.4531891371
297	0.4531416891
298	0.4530791928
299	0.4530182003
300	0.4529550184
301	0.4529099804
302	0.4528597685
303	0.452804956
304	0.4527573565
305	0.4527068971
306	0.4526846545
307	0.452634315
308	0.4525761578
309	0.4525284364
310	0.4524920646
311	0.4524581443
312	0.4524032966
313	0.4523695041
314	0.4523258236
315	0.4522678993
316	0.4522130384
317	0.4521512739
318	0.4520741867
319	0.4520131998
320	0.4519639867
321	0.4519094878
322	0.4518554266
323	0.45180053
324	0.4517837934
325	0.451741885
326	0.451677733
327	0.4516321598
328	0.4515571614
329	0.4515133356
330	0.4514870425
331	0.4514507777
332	0.4514315149
333	0.4513621082
334	0.4513186862
335	0.4512588565
336	0.4512024602
337	0.4511416757
338	0.4511229459
339	0.451095462
340	0.4510614789
341	0.4509767836
342	0.4509162598
343	0.4508624837
344	0.4508051924
345	0.4507852727
346	0.4507048079
347	0.4506710437
348	0.4506234614
349	0.450568195
350	0.4505289415
351	0.4504809757
352	0.4504182056
353	0.4503411099
354	0.4502639419
355	0.4501948074
356	0.4501755991
357	0.4500882434
358	0.4500338878
359	0.4499440057
360	0.4498918923
361	0.4498413272
362	0.4497781175
363	0.4497221319
364	0.4496578141
365	0.44960477
366	0.4495501261
367	0.4494899591
368	0.4494393343
369	0.4493869631
370	0.4493338028
371	0.4492778163
372	0.4492197755
373	0.4491768623
374	0.4491271521
375	0.4490942006
376	0.4490500468
377	0.448985325
378	0.4489321781
379	0.4488670965
380	0.4488125529
381	0.4487779657
382	0.4487623356
383	0.4487190322
384	0.4486719462
385	0.448650984
386	0.4486024455
387	0.4485395018
388	0.4485230496
389	0.4484397653
390	0.4484097632
391	0.4483739598
392	0.4483666835
393	0.4483073281
394	0.4482554593
395	0.4481953532
396	0.4481462571
397	0.4480957639
398	0.4480705716
399	0.4480104153
400	0.4479571503
401	0.4479001769
402	0.4478867564
403	0.4478402493
404	0.4478333
405	0.4477676922
406	0.4477065896
407	0.4476350586
408	0.447605954
409	0.44755332
410	0.447489635
411	0.4474487272
412	0.4473873579
413	0.4473644874
414	0.4473025493
415	0.4472400878
416	0.4472276945
417	0.447173592
418	0.4471375271
419	0.447084292
420	0.4470213355
421	0.4469598587
422	0.4468988195
423	0.4468867462
