iter	Logloss
424	0.4468430525
425	0.4467961652
426	0.4467487228
427	0.4466865939
428	0.4466290543
429	0.4465674942
430	0.4465263181
431	0.4464713665
432	0.4464282057
433	0.4463733547
434	0.4463672492
435	0.4463100717
436	0.446252996
437	0.4462227977
438	0.4461625679
439	0.4461178887
440	0.4461127775
441	0.446067542
442	0.4460195611
443	0.4459726201
444	0.4458990589
445	0.4458517636
446	0.4458027687
447	0.4457671971
448	0.445721993
449	0.4456626068
450	0.4456323148
451	0.445572598
452	0.4455234078
453	0.445453654
454	0.4454006528
455	0.4453537067
456	0.4453102272
457	0.4452472395
458	0.4451758237
459	0.4451168886
460	0.4450719939
461	0.4450329328
462	0.4449689612
463	0.4448919183
464	0.4448426733
465	0.4447987724
466	0.4447382897
467	0.4446870894
468	0.4446227985
469	0.4445751117
470	0.4445203344
471	0.4444878259
472	0.4444240431
473	0.4443701547
474	0.4443283865
475	0.4442884254
476	0.4442314679
477	0.444175806
478	0.4441188479
479	0.4440598104
480	0.4440371546
481	0.443986622
482	0.4439203698
483	0.4438715626
484	0.4438114097
485	0.4437526112
486	0.4437020608
487	0.4436610964
488	0.4435808985
489	0.4435710597
490	0.4435238156
491	0.4435135143
492	0.4434701392
493	0.4434292397
494	0.4434141947
495	0.4433535593
496	0.4433106364
497	0.4432403768
498	0.4432116849
499	0.4431714478
